"","rn","1","variable","estimate"
"64","Vehicle.SizeLarge:Engine.Fuel.Typenatural gas",0,"Vehicle.SizeLarge:Engine.Fuel.Typenatural gas",0
"65","Vehicle.SizeMidsize:Engine.Fuel.Typenatural gas",0,"Vehicle.SizeMidsize:Engine.Fuel.Typenatural gas",0
"66","Vehicle.SizeLarge:Engine.Fuel.Typepremium unleaded (recommended)",-0.00344415547647085,"Vehicle.SizeLarge:Engine.Fuel.Typepremium unleaded (recommended)",-0.00344415547647085
"67","Vehicle.SizeMidsize:Engine.Fuel.Typepremium unleaded (recommended)",-0.0179379870379371,"Vehicle.SizeMidsize:Engine.Fuel.Typepremium unleaded (recommended)",-0.0179379870379371
"68","Vehicle.SizeLarge:Engine.Fuel.Typepremium unleaded (required)",0.0487422736594479,"Vehicle.SizeLarge:Engine.Fuel.Typepremium unleaded (required)",0.0487422736594479
"69","Vehicle.SizeMidsize:Engine.Fuel.Typepremium unleaded (required)",0.00374423812711032,"Vehicle.SizeMidsize:Engine.Fuel.Typepremium unleaded (required)",0.00374423812711032
"70","Vehicle.SizeLarge:Engine.Fuel.Typeregular unleaded",0,"Vehicle.SizeLarge:Engine.Fuel.Typeregular unleaded",0
"71","Vehicle.SizeMidsize:Engine.Fuel.Typeregular unleaded",0.0117151129146919,"Vehicle.SizeMidsize:Engine.Fuel.Typeregular unleaded",0.0117151129146919
"72","Vehicle.SizeLarge:Transmission.TypeAUTOMATIC",0,"Vehicle.SizeLarge:Transmission.TypeAUTOMATIC",0
"73","Vehicle.SizeMidsize:Transmission.TypeAUTOMATIC",0.0524460778366333,"Vehicle.SizeMidsize:Transmission.TypeAUTOMATIC",0.0524460778366333
"74","Vehicle.SizeLarge:Transmission.TypeDIRECT_DRIVE",0,"Vehicle.SizeLarge:Transmission.TypeDIRECT_DRIVE",0
"75","Vehicle.SizeMidsize:Transmission.TypeDIRECT_DRIVE",0,"Vehicle.SizeMidsize:Transmission.TypeDIRECT_DRIVE",0
"76","Vehicle.SizeLarge:Transmission.TypeMANUAL",0,"Vehicle.SizeLarge:Transmission.TypeMANUAL",0
"77","Vehicle.SizeMidsize:Transmission.TypeMANUAL",-0.000967092004916804,"Vehicle.SizeMidsize:Transmission.TypeMANUAL",-0.000967092004916804
"78","Vehicle.SizeLarge:Transmission.TypeUNKNOWN",0,"Vehicle.SizeLarge:Transmission.TypeUNKNOWN",0
"79","Vehicle.SizeMidsize:Transmission.TypeUNKNOWN",0,"Vehicle.SizeMidsize:Transmission.TypeUNKNOWN",0
"80","Vehicle.SizeLarge:Driven_Wheelsfour wheel drive",0,"Vehicle.SizeLarge:Driven_Wheelsfour wheel drive",0
"81","Vehicle.SizeMidsize:Driven_Wheelsfour wheel drive",0,"Vehicle.SizeMidsize:Driven_Wheelsfour wheel drive",0
"82","Vehicle.SizeLarge:Driven_Wheelsfront wheel drive",0.0113795904827996,"Vehicle.SizeLarge:Driven_Wheelsfront wheel drive",0.0113795904827996
"83","Vehicle.SizeMidsize:Driven_Wheelsfront wheel drive",0.013494696536763,"Vehicle.SizeMidsize:Driven_Wheelsfront wheel drive",0.013494696536763
"84","Vehicle.SizeLarge:Driven_Wheelsrear wheel drive",-0.00152986031308555,"Vehicle.SizeLarge:Driven_Wheelsrear wheel drive",-0.00152986031308555
"85","Vehicle.SizeMidsize:Driven_Wheelsrear wheel drive",-0.0468039931370645,"Vehicle.SizeMidsize:Driven_Wheelsrear wheel drive",-0.0468039931370645
"86","Vehicle.SizeLarge:Vehicle.Style2dr SUV",0,"Vehicle.SizeLarge:Vehicle.Style2dr SUV",0
"87","Vehicle.SizeMidsize:Vehicle.Style2dr SUV",0,"Vehicle.SizeMidsize:Vehicle.Style2dr SUV",0
"88","Vehicle.SizeLarge:Vehicle.Style4dr Hatchback",0.17490807898398,"Vehicle.SizeLarge:Vehicle.Style4dr Hatchback",0.17490807898398
"89","Vehicle.SizeMidsize:Vehicle.Style4dr Hatchback",0.109412638532215,"Vehicle.SizeMidsize:Vehicle.Style4dr Hatchback",0.109412638532215
"90","Vehicle.SizeLarge:Vehicle.Style4dr SUV",0,"Vehicle.SizeLarge:Vehicle.Style4dr SUV",0
"91","Vehicle.SizeMidsize:Vehicle.Style4dr SUV",-0.0539770497469715,"Vehicle.SizeMidsize:Vehicle.Style4dr SUV",-0.0539770497469715
"92","Vehicle.SizeLarge:Vehicle.StyleCargo Minivan",0,"Vehicle.SizeLarge:Vehicle.StyleCargo Minivan",0
"93","Vehicle.SizeMidsize:Vehicle.StyleCargo Minivan",0,"Vehicle.SizeMidsize:Vehicle.StyleCargo Minivan",0
"94","Vehicle.SizeLarge:Vehicle.StyleCargo Van",0,"Vehicle.SizeLarge:Vehicle.StyleCargo Van",0
"95","Vehicle.SizeMidsize:Vehicle.StyleCargo Van",0.0131039476901905,"Vehicle.SizeMidsize:Vehicle.StyleCargo Van",0.0131039476901905
"96","Vehicle.SizeLarge:Vehicle.StyleConvertible",0,"Vehicle.SizeLarge:Vehicle.StyleConvertible",0
"97","Vehicle.SizeMidsize:Vehicle.StyleConvertible",-0.00464862852650778,"Vehicle.SizeMidsize:Vehicle.StyleConvertible",-0.00464862852650778
"98","Vehicle.SizeLarge:Vehicle.StyleConvertible SUV",0,"Vehicle.SizeLarge:Vehicle.StyleConvertible SUV",0
"99","Vehicle.SizeMidsize:Vehicle.StyleConvertible SUV",0,"Vehicle.SizeMidsize:Vehicle.StyleConvertible SUV",0
"100","Vehicle.SizeLarge:Vehicle.StyleCoupe",-0.332620984194457,"Vehicle.SizeLarge:Vehicle.StyleCoupe",-0.332620984194457
"101","Vehicle.SizeMidsize:Vehicle.StyleCoupe",0,"Vehicle.SizeMidsize:Vehicle.StyleCoupe",0
"102","Vehicle.SizeLarge:Vehicle.StyleCrew Cab Pickup",0.0199778172914666,"Vehicle.SizeLarge:Vehicle.StyleCrew Cab Pickup",0.0199778172914666
"103","Vehicle.SizeMidsize:Vehicle.StyleCrew Cab Pickup",0,"Vehicle.SizeMidsize:Vehicle.StyleCrew Cab Pickup",0
"104","Vehicle.SizeLarge:Vehicle.StyleExtended Cab Pickup",0,"Vehicle.SizeLarge:Vehicle.StyleExtended Cab Pickup",0
"105","Vehicle.SizeMidsize:Vehicle.StyleExtended Cab Pickup",0,"Vehicle.SizeMidsize:Vehicle.StyleExtended Cab Pickup",0
"106","Vehicle.SizeLarge:Vehicle.StylePassenger Minivan",0,"Vehicle.SizeLarge:Vehicle.StylePassenger Minivan",0
"107","Vehicle.SizeMidsize:Vehicle.StylePassenger Minivan",0.0445327951715008,"Vehicle.SizeMidsize:Vehicle.StylePassenger Minivan",0.0445327951715008
"108","Vehicle.SizeLarge:Vehicle.StylePassenger Van",0,"Vehicle.SizeLarge:Vehicle.StylePassenger Van",0
"109","Vehicle.SizeMidsize:Vehicle.StylePassenger Van",4.84988381377825e-05,"Vehicle.SizeMidsize:Vehicle.StylePassenger Van",4.84988381377825e-05
"110","Vehicle.SizeLarge:Vehicle.StyleRegular Cab Pickup",-0.0695664664293106,"Vehicle.SizeLarge:Vehicle.StyleRegular Cab Pickup",-0.0695664664293106
"111","Vehicle.SizeMidsize:Vehicle.StyleRegular Cab Pickup",0,"Vehicle.SizeMidsize:Vehicle.StyleRegular Cab Pickup",0
"112","Vehicle.SizeLarge:Vehicle.StyleSedan",0.111831489010742,"Vehicle.SizeLarge:Vehicle.StyleSedan",0.111831489010742
"113","Vehicle.SizeMidsize:Vehicle.StyleSedan",0.0513431845599982,"Vehicle.SizeMidsize:Vehicle.StyleSedan",0.0513431845599982
"114","Vehicle.SizeLarge:Vehicle.StyleWagon",0,"Vehicle.SizeLarge:Vehicle.StyleWagon",0
"115","Vehicle.SizeMidsize:Vehicle.StyleWagon",0.191621608795318,"Vehicle.SizeMidsize:Vehicle.StyleWagon",0.191621608795318
"116","Vehicle.SizeLarge:highway.MPG",0,"Vehicle.SizeLarge:highway.MPG",0
"117","Vehicle.SizeMidsize:highway.MPG",0,"Vehicle.SizeMidsize:highway.MPG",0
"118","Vehicle.SizeLarge:city.mpg",0,"Vehicle.SizeLarge:city.mpg",0
"119","Vehicle.SizeMidsize:city.mpg",0,"Vehicle.SizeMidsize:city.mpg",0
"120","Vehicle.SizeLarge:Popularity",0,"Vehicle.SizeLarge:Popularity",0
"121","Vehicle.SizeMidsize:Popularity",-2.60171267912569e-06,"Vehicle.SizeMidsize:Popularity",-2.60171267912569e-06
"122","Vehicle.SizeLarge:Engine.HP.Clean",0,"Vehicle.SizeLarge:Engine.HP.Clean",0
"123","Vehicle.SizeMidsize:Engine.HP.Clean",0,"Vehicle.SizeMidsize:Engine.HP.Clean",0
"124","Vehicle.SizeLarge:Engine.Cylinders.Clean4",0.156015656618309,"Vehicle.SizeLarge:Engine.Cylinders.Clean4",0.156015656618309
"125","Vehicle.SizeMidsize:Engine.Cylinders.Clean4",0,"Vehicle.SizeMidsize:Engine.Cylinders.Clean4",0
"126","Vehicle.SizeLarge:Engine.Cylinders.Clean5",0,"Vehicle.SizeLarge:Engine.Cylinders.Clean5",0
"127","Vehicle.SizeMidsize:Engine.Cylinders.Clean5",0,"Vehicle.SizeMidsize:Engine.Cylinders.Clean5",0
"128","Vehicle.SizeLarge:Engine.Cylinders.Clean6",0.100430204008861,"Vehicle.SizeLarge:Engine.Cylinders.Clean6",0.100430204008861
"129","Vehicle.SizeMidsize:Engine.Cylinders.Clean6",0,"Vehicle.SizeMidsize:Engine.Cylinders.Clean6",0
"130","Vehicle.SizeLarge:Engine.Cylinders.Clean8",-0.015870005263189,"Vehicle.SizeLarge:Engine.Cylinders.Clean8",-0.015870005263189
"131","Vehicle.SizeMidsize:Engine.Cylinders.Clean8",-0.156739660415576,"Vehicle.SizeMidsize:Engine.Cylinders.Clean8",-0.156739660415576
"132","Vehicle.SizeLarge:Engine.Cylinders.Clean10",0,"Vehicle.SizeLarge:Engine.Cylinders.Clean10",0
"133","Vehicle.SizeMidsize:Engine.Cylinders.Clean10",0,"Vehicle.SizeMidsize:Engine.Cylinders.Clean10",0
"134","Vehicle.SizeLarge:Engine.Cylinders.Clean12",0.00263723896232276,"Vehicle.SizeLarge:Engine.Cylinders.Clean12",0.00263723896232276
"135","Vehicle.SizeMidsize:Engine.Cylinders.Clean12",0,"Vehicle.SizeMidsize:Engine.Cylinders.Clean12",0
"136","Vehicle.SizeLarge:Engine.Cylinders.Clean16",0,"Vehicle.SizeLarge:Engine.Cylinders.Clean16",0
"137","Vehicle.SizeMidsize:Engine.Cylinders.Clean16",0,"Vehicle.SizeMidsize:Engine.Cylinders.Clean16",0
"138","Vehicle.SizeLarge:NumDoors.Clean3",0,"Vehicle.SizeLarge:NumDoors.Clean3",0
"139","Vehicle.SizeMidsize:NumDoors.Clean3",0.0419729508218921,"Vehicle.SizeMidsize:NumDoors.Clean3",0.0419729508218921
"140","Vehicle.SizeLarge:NumDoors.Clean4",0,"Vehicle.SizeLarge:NumDoors.Clean4",0
"141","Vehicle.SizeMidsize:NumDoors.Clean4",0,"Vehicle.SizeMidsize:NumDoors.Clean4",0
"142","Year:Engine.Fuel.Typediesel",0,"Year:Engine.Fuel.Typediesel",0
"143","Year:Engine.Fuel.Typeelectric",0,"Year:Engine.Fuel.Typeelectric",0
"144","Year:Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85)",0,"Year:Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85)",0
"145","Year:Engine.Fuel.Typeflex-fuel (premium unleaded required/E85)",0,"Year:Engine.Fuel.Typeflex-fuel (premium unleaded required/E85)",0
"146","Year:Engine.Fuel.Typeflex-fuel (unleaded/E85)",0,"Year:Engine.Fuel.Typeflex-fuel (unleaded/E85)",0
"147","Year:Engine.Fuel.Typeflex-fuel (unleaded/natural gas)",-1.19815012331973e-05,"Year:Engine.Fuel.Typeflex-fuel (unleaded/natural gas)",-1.19815012331973e-05
"148","Year:Engine.Fuel.Typenatural gas",0,"Year:Engine.Fuel.Typenatural gas",0
"149","Year:Engine.Fuel.Typepremium unleaded (recommended)",0,"Year:Engine.Fuel.Typepremium unleaded (recommended)",0
"150","Year:Engine.Fuel.Typepremium unleaded (required)",0,"Year:Engine.Fuel.Typepremium unleaded (required)",0
"151","Year:Engine.Fuel.Typeregular unleaded",-2.03154072197167e-05,"Year:Engine.Fuel.Typeregular unleaded",-2.03154072197167e-05
"152","Year:Transmission.TypeAUTOMATIC",-1.43742154764373e-07,"Year:Transmission.TypeAUTOMATIC",-1.43742154764373e-07
"153","Year:Transmission.TypeDIRECT_DRIVE",-9.3468676008032e-08,"Year:Transmission.TypeDIRECT_DRIVE",-9.3468676008032e-08
"154","Year:Transmission.TypeMANUAL",0,"Year:Transmission.TypeMANUAL",0
"155","Year:Transmission.TypeUNKNOWN",0,"Year:Transmission.TypeUNKNOWN",0
"156","Year:Driven_Wheelsfour wheel drive",0,"Year:Driven_Wheelsfour wheel drive",0
"157","Year:Driven_Wheelsfront wheel drive",0,"Year:Driven_Wheelsfront wheel drive",0
"158","Year:Driven_Wheelsrear wheel drive",0,"Year:Driven_Wheelsrear wheel drive",0
"159","Year:Vehicle.Style2dr SUV",0,"Year:Vehicle.Style2dr SUV",0
"160","Year:Vehicle.Style4dr Hatchback",0,"Year:Vehicle.Style4dr Hatchback",0
"161","Year:Vehicle.Style4dr SUV",0,"Year:Vehicle.Style4dr SUV",0
"162","Year:Vehicle.StyleCargo Minivan",0,"Year:Vehicle.StyleCargo Minivan",0
"163","Year:Vehicle.StyleCargo Van",0,"Year:Vehicle.StyleCargo Van",0
"164","Year:Vehicle.StyleConvertible",7.09518311046455e-09,"Year:Vehicle.StyleConvertible",7.09518311046455e-09
"165","Year:Vehicle.StyleConvertible SUV",0,"Year:Vehicle.StyleConvertible SUV",0
"166","Year:Vehicle.StyleCoupe",0,"Year:Vehicle.StyleCoupe",0
"167","Year:Vehicle.StyleCrew Cab Pickup",0,"Year:Vehicle.StyleCrew Cab Pickup",0
"168","Year:Vehicle.StyleExtended Cab Pickup",0,"Year:Vehicle.StyleExtended Cab Pickup",0
"169","Year:Vehicle.StylePassenger Minivan",0,"Year:Vehicle.StylePassenger Minivan",0
"170","Year:Vehicle.StylePassenger Van",0,"Year:Vehicle.StylePassenger Van",0
"171","Year:Vehicle.StyleRegular Cab Pickup",-1.4628988885189e-07,"Year:Vehicle.StyleRegular Cab Pickup",-1.4628988885189e-07
"172","Year:Vehicle.StyleSedan",0,"Year:Vehicle.StyleSedan",0
"173","Year:Vehicle.StyleWagon",0,"Year:Vehicle.StyleWagon",0
"174","Year:highway.MPG",0,"Year:highway.MPG",0
"175","Year:city.mpg",0,"Year:city.mpg",0
"176","Year:Popularity",0,"Year:Popularity",0
"177","Year:Engine.HP.Clean",7.19146089494121e-07,"Year:Engine.HP.Clean",7.19146089494121e-07
"178","Year:Engine.Cylinders.Clean4",-4.54958727397697e-09,"Year:Engine.Cylinders.Clean4",-4.54958727397697e-09
"179","Year:Engine.Cylinders.Clean5",0,"Year:Engine.Cylinders.Clean5",0
"180","Year:Engine.Cylinders.Clean6",0,"Year:Engine.Cylinders.Clean6",0
"181","Year:Engine.Cylinders.Clean8",4.55725945372413e-05,"Year:Engine.Cylinders.Clean8",4.55725945372413e-05
"182","Year:Engine.Cylinders.Clean10",2.59599238500701e-07,"Year:Engine.Cylinders.Clean10",2.59599238500701e-07
"183","Year:Engine.Cylinders.Clean12",7.19947536915891e-07,"Year:Engine.Cylinders.Clean12",7.19947536915891e-07
"184","Year:Engine.Cylinders.Clean16",0,"Year:Engine.Cylinders.Clean16",0
"185","Year:NumDoors.Clean3",0,"Year:NumDoors.Clean3",0
"186","Year:NumDoors.Clean4",0,"Year:NumDoors.Clean4",0
"187","Engine.Fuel.Typediesel:Transmission.TypeAUTOMATIC",0.0398285871641584,"Engine.Fuel.Typediesel:Transmission.TypeAUTOMATIC",0.0398285871641584
"188","Engine.Fuel.Typeelectric:Transmission.TypeAUTOMATIC",0,"Engine.Fuel.Typeelectric:Transmission.TypeAUTOMATIC",0
"189","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Transmission.TypeAUTOMATIC",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Transmission.TypeAUTOMATIC",0
"190","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Transmission.TypeAUTOMATIC",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Transmission.TypeAUTOMATIC",0
"191","Engine.Fuel.Typeflex-fuel (unleaded/E85):Transmission.TypeAUTOMATIC",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Transmission.TypeAUTOMATIC",0
"192","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Transmission.TypeAUTOMATIC",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Transmission.TypeAUTOMATIC",0
"193","Engine.Fuel.Typenatural gas:Transmission.TypeAUTOMATIC",0,"Engine.Fuel.Typenatural gas:Transmission.TypeAUTOMATIC",0
"194","Engine.Fuel.Typepremium unleaded (recommended):Transmission.TypeAUTOMATIC",0,"Engine.Fuel.Typepremium unleaded (recommended):Transmission.TypeAUTOMATIC",0
"195","Engine.Fuel.Typepremium unleaded (required):Transmission.TypeAUTOMATIC",-0.0012590951625651,"Engine.Fuel.Typepremium unleaded (required):Transmission.TypeAUTOMATIC",-0.0012590951625651
"196","Engine.Fuel.Typeregular unleaded:Transmission.TypeAUTOMATIC",0,"Engine.Fuel.Typeregular unleaded:Transmission.TypeAUTOMATIC",0
"197","Engine.Fuel.Typediesel:Transmission.TypeDIRECT_DRIVE",0,"Engine.Fuel.Typediesel:Transmission.TypeDIRECT_DRIVE",0
"198","Engine.Fuel.Typeelectric:Transmission.TypeDIRECT_DRIVE",0,"Engine.Fuel.Typeelectric:Transmission.TypeDIRECT_DRIVE",0
"199","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Transmission.TypeDIRECT_DRIVE",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Transmission.TypeDIRECT_DRIVE",0
"200","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Transmission.TypeDIRECT_DRIVE",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Transmission.TypeDIRECT_DRIVE",0
"201","Engine.Fuel.Typeflex-fuel (unleaded/E85):Transmission.TypeDIRECT_DRIVE",0,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Transmission.TypeDIRECT_DRIVE",0
"202","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Transmission.TypeDIRECT_DRIVE",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Transmission.TypeDIRECT_DRIVE",0
"203","Engine.Fuel.Typenatural gas:Transmission.TypeDIRECT_DRIVE",0,"Engine.Fuel.Typenatural gas:Transmission.TypeDIRECT_DRIVE",0
"204","Engine.Fuel.Typepremium unleaded (recommended):Transmission.TypeDIRECT_DRIVE",0,"Engine.Fuel.Typepremium unleaded (recommended):Transmission.TypeDIRECT_DRIVE",0
"205","Engine.Fuel.Typepremium unleaded (required):Transmission.TypeDIRECT_DRIVE",0,"Engine.Fuel.Typepremium unleaded (required):Transmission.TypeDIRECT_DRIVE",0
"206","Engine.Fuel.Typeregular unleaded:Transmission.TypeDIRECT_DRIVE",-6.07126114451753e-05,"Engine.Fuel.Typeregular unleaded:Transmission.TypeDIRECT_DRIVE",-6.07126114451753e-05
"207","Engine.Fuel.Typediesel:Transmission.TypeMANUAL",0.0224376670979913,"Engine.Fuel.Typediesel:Transmission.TypeMANUAL",0.0224376670979913
"208","Engine.Fuel.Typeelectric:Transmission.TypeMANUAL",0,"Engine.Fuel.Typeelectric:Transmission.TypeMANUAL",0
"209","Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Transmission.TypeMANUAL",0,"Engine.Fuel.Typeflex-fuel (premium unleaded recommended/E85):Transmission.TypeMANUAL",0
"210","Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Transmission.TypeMANUAL",0,"Engine.Fuel.Typeflex-fuel (premium unleaded required/E85):Transmission.TypeMANUAL",0
"211","Engine.Fuel.Typeflex-fuel (unleaded/E85):Transmission.TypeMANUAL",-0.0549854341199471,"Engine.Fuel.Typeflex-fuel (unleaded/E85):Transmission.TypeMANUAL",-0.0549854341199471
"212","Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Transmission.TypeMANUAL",0,"Engine.Fuel.Typeflex-fuel (unleaded/natural gas):Transmission.TypeMANUAL",0
"213","Engine.Fuel.Typenatural gas:Transmission.TypeMANUAL",0,"Engine.Fuel.Typenatural gas:Transmission.TypeMANUAL",0
"214","Engine.Fuel.Typepremium unleaded (recommended):Transmission.TypeMANUAL",0,"Engine.Fuel.Typepremium unleaded (recommended):Transmission.TypeMANUAL",0
"215","Engine.Fuel.Typepremium unleaded (required):Transmission.TypeMANUAL",0,"Engine.Fuel.Typepremium unleaded (required):Transmission.TypeMANUAL",0
